,WeekDay,B365H,B365D,B365A,margin,UPH
0,3,3.6,3.3,2.25,0.9753694581280787,-1.0
1,6,2.6,3.3,3.0,0.9794520547945207,-1.0
2,6,1.5,4.75,7.0,0.9803439803439803,0.5
3,6,2.6,3.4,2.87,0.9735533384497314,-1.0
4,6,2.75,3.25,2.8,0.9723166585721225,-1.0
5,6,2.75,3.2,2.87,0.976020713775047,-1.0
6,6,1.9,3.6,4.5,0.9743589743589745,0.8999999999999999
7,6,2.25,3.4,3.5,0.976298997265269,-1.0
8,6,1.44,4.5,9.0,0.972972972972973,-1.0
9,6,2.2,3.4,3.6,0.9742402315484805,1.2000000000000002
10,1,2.75,3.3,2.8,0.9767441860465115,1.75
11,4,2.75,3.3,2.8,0.9767441860465115,-1.0
12,6,2.25,3.3,3.6,0.975369458128079,1.25
13,6,2.54,3.3,3.0,0.9708130646282142,-1.0
14,3,2.0,3.5,4.1,0.9712351945854483,1.0
15,3,2.54,3.25,3.1,0.9765875438864297,-1.0
16,3,3.0,3.3,2.6,0.9794520547945207,-1.0
17,3,2.14,3.5,3.7,0.9772550955638623,-1.0
18,3,1.72,3.6,6.0,0.9748110831234256,0.72
19,3,2.75,3.3,2.8,0.9767441860465115,-1.0
20,3,1.66,3.8,6.0,0.9687723968465238,0.6599999999999999
21,3,2.87,3.4,2.62,0.9763440695960344,-1.0
22,3,2.4,3.3,3.25,0.9733408961996596,1.4
23,3,2.37,3.3,3.3,0.9727611940298508,-1.0
24,3,2.3,3.5,3.3,0.9770136079440971,-1.0
25,3,2.45,3.3,3.2,0.9768548234849915,1.4500000000000002
26,4,3.1,3.3,2.5,0.9750285932138772,-1.0
27,5,2.9,3.4,2.6,0.9769817073170731,-1.0
28,5,2.4,3.4,3.2,0.9772455089820358,-1.0
29,5,3.9,3.4,2.1,0.9739769150052466,-1.0
30,5,1.44,4.75,8.0,0.9709013484740951,0.43999999999999995
31,5,2.4,3.3,3.3,0.9777777777777777,1.4
32,5,2.5,3.3,3.1,0.9750285932138772,-1.0
33,5,2.1,3.4,4.0,0.9800960878517503,-1.0
34,5,2.1,3.5,3.75,0.9722222222222223,1.1
35,5,1.66,3.8,6.0,0.9687723968465238,0.6599999999999999
36,5,2.5,3.4,3.0,0.9732824427480917,-1.0
37,6,1.53,4.2,7.5,0.9755875387137913,0.53
38,1,1.9,3.4,4.75,0.9699699699699701,0.8999999999999999
39,1,2.54,3.3,3.0,0.9708130646282142,-1.0
40,1,3.1,3.3,2.5,0.9750285932138772,-1.0
41,1,3.2,3.5,2.35,0.9768046019669697,-1.0
42,2,2.54,3.5,2.9,0.9763311368628343,-1.0
43,2,1.72,3.75,5.5,0.9709867250581633,-1.0
44,2,3.1,3.1,2.62,0.9738609112709834,2.1
45,2,2.4,3.4,3.2,0.9772455089820358,1.4
46,2,3.1,3.3,2.5,0.9750285932138772,2.1
47,2,2.14,3.4,3.75,0.9726925956293893,-1.0
48,4,2.5,3.3,3.1,0.9750285932138772,1.5
49,5,1.61,3.9,6.5,0.9695799876466954,-1.0
50,5,2.9,3.5,2.54,0.9763311368628343,1.9
51,5,3.9,3.4,2.1,0.9739769150052466,-1.0
52,5,2.45,3.3,3.2,0.9768548234849915,1.4500000000000002
53,5,2.75,3.4,2.7,0.9726449624349838,-1.0
54,5,1.85,3.5,5.0,0.9744168547780288,-1.0
55,5,3.25,3.6,2.25,0.9709543568464731,2.25
56,5,2.5,3.0,3.4,0.9732824427480915,1.5
57,5,2.0,3.4,4.33,0.9755483400702404,1.0
58,5,2.25,3.4,3.5,0.976298997265269,-1.0
59,6,3.6,3.4,2.2,0.9742402315484805,2.6
60,4,2.2,3.5,3.5,0.9746835443037977,-1.0
61,1,2.0,3.5,4.2,0.9767441860465117,-1.0
62,1,1.9,3.75,4.33,0.9766298928441411,0.8999999999999999
63,1,2.9,3.3,2.62,0.9713101417835284,-1.0
64,1,2.2,3.3,3.75,0.9763313609467457,-1.0
65,1,1.6,3.9,7.0,0.9763075547608405,-1.0
66,1,2.37,3.25,3.4,0.9768001342757502,-1.0
67,1,2.4,3.25,3.3,0.9733408961996596,1.4
68,1,2.04,3.5,4.0,0.9747440273037543,1.04
69,1,1.57,4.2,6.5,0.9719268010612487,0.5700000000000001
70,4,2.37,3.25,3.4,0.9768001342757502,1.37
71,4,3.0,3.25,2.6,0.9750000000000001,-1.0
