,WeekDay,B365H,B365D,B365A,margin,UPD
0,0,1.4,4.5,8.0,0.9420560747663551,-1.0
1,3,2.3,3.2,3.3,0.9520972167777342,-1.0
2,3,2.5,3.1,3.1,0.9567901234567902,-1.0
3,3,1.72,3.5,5.5,0.9533544486035127,-1.0
4,3,3.2,3.25,2.3,0.9478898355458689,-1.0
5,3,1.85,3.5,4.5,0.9537643207855976,-1.0
6,3,1.8,3.5,4.75,0.9507545671167594,-1.0
7,5,1.7,3.6,5.0,0.938074800735745,-1.0
8,5,1.2,7.0,13.0,0.9495652173913043,-1.0
9,5,1.08,12.0,23.0,0.9499043977055451,-1.0
10,4,4.75,4.0,1.7,0.9535055350553506,-1.0
11,5,3.2,3.0,2.5,0.9561752988047808,-1.0
12,5,2.75,3.1,2.75,0.952513966480447,2.1
13,5,2.6,3.25,2.8,0.9528795811518325,-1.0
14,5,13.0,7.0,1.2,0.9495652173913043,-1.0
15,5,1.5,4.33,6.5,0.9510587970263572,3.33
16,5,1.9,3.3,4.5,0.9509605662285135,-1.0
17,6,4.75,3.8,1.72,0.9477958236658932,-1.0
18,6,2.6,3.2,2.8,0.9485342019543974,2.2
19,6,2.6,3.1,2.9,0.9505490036600245,-1.0
20,4,1.28,5.75,11.0,0.9559570197189751,-1.0
21,5,2.6,3.25,2.8,0.9528795811518325,-1.0
22,5,2.4,3.1,3.2,0.9507987220447284,2.1
23,5,1.95,3.25,4.33,0.9510587970263572,2.25
24,5,1.9,3.4,4.33,0.9511306062769901,-1.0
25,5,1.07,13.0,26.0,0.9524135570010269,-1.0
26,5,2.3,3.2,3.3,0.9520972167777342,-1.0
27,6,3.1,3.3,2.37,0.9546066619418851,-1.0
28,6,2.0,3.4,3.9,0.9519023689877961,-1.0
29,6,1.5,4.33,6.5,0.9510587970263572,3.33
30,4,1.33,5.25,9.5,0.9545454545454547,-1.0
31,1,2.45,3.25,3.0,0.9531172069825437,-1.0
32,1,1.9,3.4,4.33,0.9511306062769901,-1.0
33,1,2.04,3.4,3.75,0.9514925373134328,-1.0
34,1,11.0,7.0,1.22,0.9492724333063863,-1.0
35,1,2.6,3.1,2.9,0.9505490036600245,-1.0
36,1,2.3,3.1,3.4,0.9510396233817182,-1.0
37,4,2.8,3.3,2.54,0.9488800840947683,-1.0
38,4,2.1,3.3,3.75,0.9561258278145696,-1.0
39,4,1.61,3.75,6.0,0.9483604947967799,2.75
