WeekDay,B365H,B365D,B365A,margin,UPH
3,1.7,3.6,5.0,0.938074800735745,-1.0
6,2.8,3.1,2.6,0.9395503746877603,-1.0
6,2.25,3.2,3.3,0.9434187016081002,1.25
6,3.2,3.2,2.3,0.9435897435897435,2.2
1,2.45,3.25,2.87,0.939595625269823,1.4500000000000002
1,2.4,3.2,3.0,0.9411764705882353,-1.0
1,2.2,3.25,3.3,0.9387308533916849,-1.0
1,1.8,3.5,4.5,0.9402985074626866,0.8
4,2.25,3.25,3.2,0.9392875062719518,1.25
0,1.61,4.0,5.0,0.9336039431719338,-1.0
0,2.0,3.6,3.5,0.9402985074626866,1.0
0,2.2,3.25,3.3,0.9387308533916849,1.2000000000000002
3,2.2,3.4,3.2,0.9423622047244096,1.2000000000000002
3,2.45,3.25,2.87,0.939595625269823,-1.0
5,2.37,3.25,3.0,0.940763358778626,-1.0
5,1.6,3.75,5.75,0.9384563073784429,-1.0
5,3.3,3.3,2.2,0.942857142857143,-1.0
0,1.6,3.8,5.75,0.9415566927013198,-1.0
4,1.95,3.5,3.8,0.9418921372798257,0.95
4,2.1,3.25,3.5,0.9349315068493151,1.1
5,1.4,4.75,7.0,0.9366197183098591,0.3999999999999999
5,2.75,3.1,2.62,0.9364204259600872,-1.0
5,3.1,3.3,2.3,0.9430460921843687,-1.0
6,2.1,3.4,3.4,0.9394736842105263,-1.0
6,2.7,3.4,2.5,0.93941874744167,-1.0
6,2.2,3.3,3.3,0.942857142857143,1.2000000000000002
0,1.8,3.6,4.33,0.9396021699819168,0.8
4,1.64,3.8,5.0,0.9320411581718114,0.6399999999999999
4,1.95,3.5,3.8,0.9418921372798257,-1.0
1,2.04,3.4,3.6,0.9415384615384615,1.04
1,2.0,3.4,3.75,0.9426987060998151,-1.0
4,2.25,3.5,3.0,0.9402985074626866,-1.0
4,2.5,3.2,2.8,0.9348914858096828,-1.0
4,3.75,3.4,2.0,0.9426987060998151,-1.0
4,1.83,3.6,4.2,0.9413349663196572,0.8300000000000001
