WeekDay,B365H,B365D,B365A,margin,UPA
0,2.4,3.6,2.7,0.9391304347826086,1.7000000000000002
3,1.12,8.0,19.0,0.9341527655838456,-1.0
3,2.1,3.5,3.3,0.9390243902439025,-1.0
3,1.4,5.0,6.5,0.9362139917695471,-1.0
3,2.25,3.4,3.1,0.9423802900854361,2.1
5,1.36,4.75,8.5,0.9403202328966522,-1.0
5,1.8,4.0,3.9,0.9416498993963782,2.9
5,5.0,4.33,1.57,0.9364264245235977,-1.0
5,1.57,4.0,5.5,0.935663009616687,-1.0
4,1.8,3.6,4.33,0.9396021699819168,3.33
5,2.0,3.4,3.75,0.9426987060998151,-1.0
5,2.14,3.4,3.3,0.939463181782612,-1.0
5,10.0,5.25,1.3,0.9436571033529211,0.30000000000000004
5,10.0,5.25,1.28,0.9330741460705361,0.28
6,4.75,4.0,1.66,0.9407904548844145,0.6599999999999999
6,1.28,5.25,10.0,0.9330741460705358,-1.0
6,2.1,3.4,3.4,0.9394736842105263,-1.0
6,1.66,4.0,4.75,0.9407904548844145,-1.0
4,1.9,3.5,4.0,0.9415929203539823,-1.0
5,1.1,9.0,21.0,0.9364864864864865,-1.0
5,2.9,3.3,2.37,0.9347551928783383,1.37
5,2.0,3.5,3.6,0.9402985074626866,2.6
5,6.0,4.5,1.5,0.9473684210526317,0.5
6,1.66,4.0,4.75,0.9407904548844145,-1.0
6,4.33,4.0,1.7,0.9352943045011277,0.7
6,1.5,4.33,6.0,0.9396021699819168,-1.0
6,2.1,3.5,3.3,0.9390243902439025,-1.0
4,2.14,3.5,3.2,0.9385229853551571,-1.0
1,2.37,3.3,2.9,0.9347551928783383,1.9
1,3.75,3.6,1.9,0.9339158929546695,-1.0
1,1.2,6.5,13.0,0.9397590361445783,-1.0
1,2.8,3.4,2.4,0.9363934426229509,-1.0
4,1.16,7.5,13.0,0.9325527704485488,-1.0
4,2.04,3.5,3.4,0.9345549738219896,2.4
4,5.75,4.0,1.57,0.9426352541930432,-1.0
4,5.0,4.2,1.6,0.9406494960806271,0.6000000000000001
