WeekDay,B365H,B365D,B365A,margin,UPH
0,2.4,3.6,2.7,0.9391304347826086,-1.0
3,1.12,8.0,19.0,0.9341527655838456,-1.0
3,2.1,3.5,3.3,0.9390243902439025,-1.0
3,1.4,5.0,6.5,0.9362139917695471,0.3999999999999999
3,2.25,3.4,3.1,0.9423802900854361,-1.0
5,1.36,4.75,8.5,0.9403202328966522,0.3600000000000001
5,1.8,4.0,3.9,0.9416498993963782,-1.0
5,5.0,4.33,1.57,0.9364264245235977,4.0
5,1.57,4.0,5.5,0.935663009616687,0.5700000000000001
4,1.8,3.6,4.33,0.9396021699819168,-1.0
5,2.0,3.4,3.75,0.9426987060998151,1.0
5,2.14,3.4,3.3,0.939463181782612,1.1400000000000001
5,10.0,5.25,1.3,0.9436571033529211,-1.0
5,10.0,5.25,1.28,0.9330741460705361,-1.0
6,4.75,4.0,1.66,0.9407904548844145,-1.0
6,1.28,5.25,10.0,0.9330741460705358,0.28
6,2.1,3.4,3.4,0.9394736842105263,-1.0
6,1.66,4.0,4.75,0.9407904548844145,0.6599999999999999
4,1.9,3.5,4.0,0.9415929203539823,0.8999999999999999
5,1.1,9.0,21.0,0.9364864864864865,0.10000000000000009
5,2.9,3.3,2.37,0.9347551928783383,-1.0
5,2.0,3.5,3.6,0.9402985074626866,-1.0
5,6.0,4.5,1.5,0.9473684210526317,-1.0
6,1.66,4.0,4.75,0.9407904548844145,-1.0
6,4.33,4.0,1.7,0.9352943045011277,-1.0
6,1.5,4.33,6.0,0.9396021699819168,-1.0
6,2.1,3.5,3.3,0.9390243902439025,1.1
4,2.14,3.5,3.2,0.9385229853551571,-1.0
1,2.37,3.3,2.9,0.9347551928783383,-1.0
1,3.75,3.6,1.9,0.9339158929546695,-1.0
1,1.2,6.5,13.0,0.9397590361445783,0.19999999999999996
1,2.8,3.4,2.4,0.9363934426229509,-1.0
4,1.16,7.5,13.0,0.9325527704485488,0.15999999999999992
4,2.04,3.5,3.4,0.9345549738219896,-1.0
4,5.75,4.0,1.57,0.9426352541930432,4.75
4,5.0,4.2,1.6,0.9406494960806271,-1.0
