WeekDay,B365H,B365D,B365A,margin,UPH
6,1.1,11.0,21.0,0.9545454545454545,0.10000000000000009
6,3.5,3.4,2.04,0.9345549738219896,-1.0
6,2.04,3.3,3.6,0.9337031900138695,1.04
6,2.5,3.25,2.8,0.9391124871001032,1.5
1,3.1,3.25,2.3,0.9389181523500809,-1.0
1,1.8,3.6,4.33,0.9396021699819168,0.8
3,3.4,3.4,2.1,0.9394736842105263,-1.0
3,5.5,4.0,1.57,0.935663009616687,4.5
3,3.2,3.3,2.25,0.9434187016081002,-1.0
3,1.61,3.8,5.5,0.9380035123909346,-1.0
5,1.33,5.0,9.0,0.9407419050613015,0.33000000000000007
5,3.5,3.4,2.04,0.9345549738219896,-1.0
5,2.37,3.2,3.0,0.9365275376636207,-1.0
5,2.37,3.2,3.0,0.9365275376636207,-1.0
5,2.14,3.2,3.6,0.9455661245780913,1.1400000000000001
5,2.14,3.4,3.3,0.939463181782612,-1.0
6,1.12,8.0,19.0,0.9341527655838456,0.1200000000000001
6,6.0,3.75,1.57,0.9343384249156913,-1.0
1,1.9,3.6,3.8,0.936986301369863,-1.0
1,2.7,3.3,2.54,0.9371180124223603,-1.0
1,3.5,3.2,2.14,0.9385229853551571,-1.0
1,1.44,4.2,7.5,0.9381980640357409,0.43999999999999995
1,4.5,3.5,1.8,0.9402985074626866,3.5
4,1.57,4.2,5.75,0.9533334171454435,0.5700000000000001
