WeekDay,B365H,B365D,B365A,margin,UPH
0,4.5,4.0,1.72,0.9491109748620478,-1.0
3,1.36,5.0,7.5,0.9357798165137615,0.3600000000000001
3,2.3,3.4,3.0,0.9414125200642055,-1.0
3,2.25,3.25,3.2,0.9392875062719518,1.25
5,1.4,5.0,6.5,0.9362139917695471,0.3999999999999999
5,1.8,3.6,4.5,0.9473684210526315,0.8
5,1.95,3.3,4.0,0.9382176052487697,-1.0
5,1.75,3.5,4.75,0.9366197183098594,0.75
0,1.95,3.4,3.9,0.9404255319148936,0.95
4,1.75,3.75,4.5,0.94311377245509,0.75
5,2.87,3.1,2.54,0.9392198098151351,-1.0
5,2.5,3.2,2.87,0.9425674288763907,-1.0
5,5.0,3.5,1.72,0.9371108343711083,4.0
6,2.1,3.1,3.75,0.9385813148788927,-1.0
6,2.0,3.3,3.8,0.9379207180254302,-1.0
6,6.0,3.8,1.57,0.9374116168229193,-1.0
6,1.25,5.5,12.0,0.9388335704125178,0.25
0,4.2,3.75,1.8,0.9431137724550898,3.2
4,1.64,3.6,5.75,0.9421102292279515,-1.0
5,3.4,3.25,2.14,0.9353664807562991,-1.0
5,4.75,3.5,1.75,0.9366197183098594,3.75
5,2.04,3.1,4.0,0.9409314090165154,-1.0
6,1.2,6.5,13.0,0.9397590361445783,-1.0
6,1.8,3.4,4.75,0.9432186891628812,-1.0
6,1.95,3.3,4.0,0.9382176052487697,-1.0
0,1.44,4.5,6.5,0.9341317365269461,0.43999999999999995
0,1.25,5.75,11.0,0.939123979213066,0.25
4,2.2,3.2,3.5,0.9498843484965306,-1.0
1,2.0,3.5,3.6,0.9402985074626866,-1.0
1,2.45,3.3,2.8,0.9360347322720695,1.4500000000000002
1,1.44,4.33,7.0,0.9361118022013847,-1.0
1,3.5,3.6,2.0,0.9402985074626866,2.5
4,2.4,3.3,2.87,0.9362164833806993,1.4
4,5.25,4.0,1.6,0.9385474860335196,-1.0
4,5.5,4.0,1.57,0.935663009616687,-1.0
4,1.9,3.6,3.8,0.936986301369863,0.8999999999999999
