,WeekDay,B365H,B365D,B365A,margin,UPA
0,4,2.2,3.2,3.4,0.9423622047244093,-1.0
1,5,2.1,3.25,3.6,0.9419206440483037,-1.0
2,5,3.2,3.0,2.4,0.9411764705882353,-1.0
3,5,2.2,3.2,3.4,0.9423622047244093,-1.0
4,6,2.2,3.2,3.4,0.9423622047244093,-1.0
5,6,2.5,3.0,3.0,0.9375,-1.0
6,6,1.9,3.4,4.0,0.9342010122921186,-1.0
7,6,1.72,3.25,5.5,0.933788914198937,-1.0
8,0,1.8,3.4,4.75,0.9432186891628812,-1.0
9,4,1.66,3.4,6.0,0.9405621597600266,-1.0
10,1,2.7,3.0,2.8,0.9426433915211969,1.7999999999999998
11,1,2.1,3.1,3.8,0.9416825275980206,-1.0
12,1,2.25,3.0,3.5,0.9402985074626867,-1.0
13,4,2.2,3.0,3.6,0.938388625592417,-1.0
14,4,2.3,3.0,3.4,0.9414125200642053,-1.0
15,4,1.75,3.25,5.25,0.9349315068493151,-1.0
16,4,2.0,3.1,4.2,0.942795076031861,-1.0
