,WeekDay,B365H,B365D,B365A,margin,UPA
0,6,2.62,3.4,2.54,0.9350182653685307,-1.0
1,6,2.5,3.3,2.75,0.9374999999999998,1.75
2,6,2.7,3.4,2.5,0.93941874744167,1.5
3,6,2.25,3.5,3.0,0.9402985074626866,-1.0
4,6,1.3,5.0,9.5,0.9306706857573475,-1.0
5,3,3.0,3.5,2.25,0.9402985074626866,1.25
6,3,2.3,3.4,3.0,0.9414125200642055,2.0
7,3,1.8,3.6,4.33,0.9396021699819168,-1.0
8,3,2.04,3.5,3.4,0.9345549738219896,-1.0
9,3,2.75,3.4,2.45,0.9381591071977066,1.4500000000000002
10,5,2.9,3.3,2.4,0.9393865030674846,-1.0
11,5,2.5,3.4,2.7,0.93941874744167,-1.0
12,5,2.3,3.4,3.0,0.9414125200642055,2.0
13,5,1.5,3.75,7.5,0.9375,-1.0
14,5,3.0,3.4,2.3,0.9414125200642053,-1.0
15,1,4.75,3.8,1.7,0.9416909620991253,-1.0
16,1,2.3,3.4,3.0,0.9414125200642055,2.0
17,1,1.85,3.6,4.0,0.9360505973295854,-1.0
18,1,2.14,3.75,3.0,0.936952714535902,-1.0
19,1,1.5,4.6,5.5,0.9381953028430161,-1.0
