,WeekDay,B365H,B365D,B365A,margin,UPH
0,4,2.9,3.0,2.6,0.9409317803660566,-1.0
1,4,1.61,3.6,6.0,0.9384715025906736,0.6100000000000001
2,5,2.4,3.2,3.0,0.9411764705882353,-1.0
3,5,2.4,3.1,3.1,0.9417721518987342,-1.0
4,5,2.4,3.0,3.2,0.9411764705882353,-1.0
5,5,3.0,3.0,2.5,0.9375,-1.0
6,6,1.72,3.25,5.5,0.933788914198937,0.72
7,6,2.25,3.0,3.5,0.9402985074626867,1.25
8,6,1.66,3.4,5.75,0.9341949969774604,-1.0
9,6,1.72,3.4,5.25,0.9380958200928868,0.72
10,0,2.62,3.1,2.75,0.9364204259600873,-1.0
11,4,3.8,3.1,2.1,0.9416825275980206,-1.0
12,4,1.72,3.25,5.5,0.933788914198937,0.72
13,5,2.5,3.0,3.0,0.9375,-1.0
14,5,1.7,3.3,5.75,0.9388096623981372,-1.0
15,5,2.14,2.87,4.0,0.9383312071744494,-1.0
16,5,4.2,2.87,2.1,0.9409836065573771,-1.0
17,6,2.8,2.9,2.75,0.9384324437907123,-1.0
18,6,1.8,3.3,4.75,0.9353555445052213,-1.0
19,6,1.8,3.1,5.25,0.9357930043124102,-1.0
20,6,1.61,3.5,6.25,0.9373544480670705,0.6100000000000001
21,0,2.8,3.3,2.45,0.9360347322720695,-1.0
22,4,2.25,2.9,3.6,0.9371633752244166,1.25
23,1,2.25,2.9,3.6,0.9371633752244166,-1.0
24,1,2.04,2.9,4.33,0.9381122235975712,-1.0
25,1,2.4,2.87,3.4,0.9440941707651375,1.4
26,1,2.37,2.87,3.4,0.9394164408824472,-1.0
27,1,2.2,3.0,3.6,0.938388625592417,-1.0
28,4,1.95,3.1,4.33,0.9377801264711676,0.95
29,4,2.1,3.1,3.8,0.9416825275980206,-1.0
30,4,2.1,3.1,3.8,0.9416825275980206,1.1
31,4,1.5,3.6,8.0,0.935064935064935,0.5
32,4,3.5,2.9,2.3,0.938681141938078,-1.0
